Font Name,Google Fonts Link,Tone: Formal → Casual,Energy: Calm → Energetic,Design: Minimal → Expressive,Era: Classic → Modern,Structure: Organic → Geometric,Aesthetic Style,Embed Code (CSS Font Family),Personality Tags,Recommended For
Raleway,https://fonts.google.com/specimen/Raleway,2,3,2,4,4,Geometric Sans,"Raleway', sans-serif","Modern, Elegant, Minimalist","Tech, Wellness"
Playfair Display,https://fonts.google.com/specimen/Playfair+Display,1,2,4,1,2,Classic Serif,"Playfair Display', serif","Sophisticated, Editorial, Classic","Luxury, Editorial"
Karla,https://fonts.google.com/specimen/Karla,4,2,2,4,3,Humanist Sans,"Karla', sans-serif","Friendly, Approachable, Humanist","DTC, Services"
Oswald,https://fonts.google.com/specimen/Oswald,3,5,4,5,5,Condensed Sans,"Oswald', sans-serif","Bold, Confident, Structured","Fitness, Startups"
Barlow,https://fonts.google.com/specimen/Barlow,3,4,3,5,5,Grotesque Sans,"Barlow', sans-serif","Neutral, Clean, Versatile","Corporate, SaaS"
Lora,https://fonts.google.com/specimen/Lora,2,2,3,2,2,Transitional Serif,"Lora', serif","Warm, Classic, Readable","Education, Publishing"
Montserrat,https://fonts.google.com/specimen/Montserrat,3,4,3,5,5,Geometric Sans,"Montserrat', sans-serif","Contemporary, Polished, Balanced","Marketing, Retail"
Bebas Neue,https://fonts.google.com/specimen/Bebas+Neue,4,5,5,5,5,Display Sans,"Bebas Neue', sans-serif","Impactful, Loud, Youthful","Music, Fashion, Events"
Fira Code,https://fonts.google.com/specimen/Fira+Code,2,3,2,5,4,Monospace,"Fira Code', monospace","Technical, Precise, Efficient","Dev Tools, Engineering"
Pacifico,https://fonts.google.com/specimen/Pacifico,5,5,5,4,2,Handwritten Script,"Pacifico', cursive","Casual, Fun, Personal","Lifestyle, Food & Bev"
IBM Plex Sans,https://fonts.google.com/specimen/IBM+Plex+Sans,3,3,2,4,5,Neo-grotesque Sans,"IBM Plex Sans', sans-serif","Technical, Clear, Contemporary","Tech, Data, SaaS"
DM Serif Display,https://fonts.google.com/specimen/DM+Serif+Display,1,3,4,2,2,High-contrast Serif,"DM Serif Display', serif","Elegant, Dramatic, Sophisticated","Luxury, Beauty, Editorial"
Work Sans,https://fonts.google.com/specimen/Work+Sans,3,3,2,5,4,Grotesque Sans,"Work Sans', sans-serif","Versatile, Clean, Balanced","Startups, Content, Marketing"
Libre Baskerville,https://fonts.google.com/specimen/Libre+Baskerville,2,2,3,1,2,Transitional Serif,"Libre Baskerville', serif","Trustworthy, Bookish, Authoritative","Publishing, Legal, Institutions"
Manrope,https://fonts.google.com/specimen/Manrope,3,3,2,5,5,Geometric Sans,"Manrope', sans-serif","Neutral, Modern, Functional","Product UI, Clean Branding"
Source Serif Pro,https://fonts.google.com/specimen/Source+Serif+Pro,2,2,2,2,3,Transitional Serif,"Source Serif Pro', serif","Structured, Reliable, Bookish","Academia, Legal, Publishing"
Rubik,https://fonts.google.com/specimen/Rubik,3,4,3,5,5,Rounded Sans,"Rubik', sans-serif","Rounded, Approachable, Friendly","Tech, Fintech, Kids Brands"
Space Mono,https://fonts.google.com/specimen/Space+Mono,3,3,3,4,5,Monospace,"Space Mono', monospace","Retro-futuristic, Quirky, Technical","Tech, Personal Branding, Creative Coding"
Great Vibes,https://fonts.google.com/specimen/Great+Vibes,4,4,5,3,2,Handwritten Script,"Great Vibes', cursive","Romantic, Flowing, Hand-drawn","Weddings, Lifestyle, Boutique Brands"
Yeseva One,https://fonts.google.com/specimen/Yeseva+One,2,4,4,3,3,Display Serif,"Yeseva One', serif","Vintage, Feminine, Bold","Beauty, Fashion, Design Studios"
Chivo,https://fonts.google.com/specimen/Chivo,3,3,2,5,4,Grotesque Sans,"Chivo', sans-serif","Neutral, Technical, Contemporary","SaaS, News, Product Design"
Courier Prime,https://fonts.google.com/specimen/Courier+Prime,2,2,2,1,3,Monospace,"Courier Prime', monospace","Classic, Technical, Literary","Writing, Dev Tools, Screenplays"
Dancing Script,https://fonts.google.com/specimen/Dancing+Script,4,5,5,3,2,Handwritten Script,"Dancing Script', cursive","Playful, Human, Expressive","Events, Lifestyle, Hospitality"
Cormorant Garamond,https://fonts.google.com/specimen/Cormorant+Garamond,1,2,4,1,2,Classic Serif,"Cormorant Garamond', serif","Heritage, Elegant, Historic","Luxury, Print, Academia"
Crimson Pro,https://fonts.google.com/specimen/Crimson+Pro,2,2,3,1,3,Classic Serif,"Crimson Pro', serif","Traditional, Literary, Academic","Books, Editorial, Institutions"
Cabin,https://fonts.google.com/specimen/Cabin,3,3,3,4,3,Humanist Sans,"Cabin', sans-serif","Warm, Friendly, Contemporary","Startups, Nonprofits, Content"
PT Sans,https://fonts.google.com/specimen/PT+Sans,3,2,2,3,4,Humanist Sans,"PT Sans', sans-serif","Open, Versatile, Professional","Publishing, Web, Service"
Anton,https://fonts.google.com/specimen/Anton,4,5,5,4,4,Condensed Sans,"Anton', sans-serif","Bold, Condensed, Loud","Posters, Headlines, Ads"
Teko,https://fonts.google.com/specimen/Teko,3,5,4,4,4,Condensed Sans,"Teko', sans-serif","Urban, Strong, Focused","Sports, Music, Headings"
Chewy,https://fonts.google.com/specimen/Chewy,5,5,5,4,2,Bubbly Display,"Chewy', cursive","Playful, Youthful, Rounded","Food, Kids, Pop Brands"
Luckiest Guy,https://fonts.google.com/specimen/Luckiest+Guy,5,5,5,3,3,Bubbly Display,"Luckiest Guy', cursive","Comic, Bold, Upbeat","Retail, Games, Cafes"
Titan One,https://fonts.google.com/specimen/Titan+One,4,5,5,4,4,Bubbly Display,"Titan One', cursive","Chunky, Vibrant, Bold","Events, Brands, Merch"
Monoton,https://fonts.google.com/specimen/Monoton,5,5,5,2,3,Funky Retro,"Monoton', cursive","Funky, Retro, Dazzling","Music, Nightlife, Creative"
Bungee,https://fonts.google.com/specimen/Bungee,4,5,5,3,4,Funky Retro,"Bungee', sans-serif","Urban, Showy, Retro","Venues, Streetwear, Pop Culture"
Freckle Face,https://fonts.google.com/specimen/Freckle+Face,5,5,5,3,3,Funky Retro,"Freckle Face', cursive","Fun, 70s, Playful","Parties, Apparel, Digital Art"
